city,county,lat,lon,province,staID,staName,type
资阳,雁江区,30.1383,104.6295,四川,2563A,四三一厂,B
资阳,雁江区,30.1146,104.6463,四川,2564A,师范校,B
阿坝州,马尔康市,31.8896,102.2502,四川,2568A,马师校,B
凉山州,西昌市,27.8415,102.2721,四川,2572A,邛海宾馆,B
凉山州,西昌市,27.898,102.2625,四川,2573A,西昌市政府,B
凉山州,西昌市,27.8851,102.2685,四川,2574A,凉山州政府,B
凉山州,西昌市,27.8914,102.237,四川,2575A,长安,B
六盘水,钟山区,26.5917,104.83,贵州,2577A,黄土坡,B
六盘水,钟山区,26.5939,104.89,贵州,2578A,水钢,B
六盘水,钟山区,26.5894,104.8475,贵州,2579A,民中,B
铜仁,碧江区,27.7344,109.1839,贵州,2585A,铜仁卫校,B
毕节,七星关区,27.3125,105.2864,贵州,2587A,八中,B
毕节,七星关区,27.2944,105.31,贵州,2588A,师专,B
黔西南州,兴义市,25.0992,104.8811,贵州,2590A,坪东大道,B
保山,隆阳区,25.1328,99.1711,云南,2595A,市环保局,B
昭通,昭阳区,27.3736,103.7667,云南,2596A,监测站,B
丽江,古城区,26.8802,100.2497,云南,2599A,丽江古城,B
普洱,思茅区,22.8322,100.9817,云南,2602A,普洱第二中学,B
临沧,临翔区,23.8822,100.0894,云南,2604A,市气象局,B
楚雄州,楚雄市,25.0492,101.538,云南,2606A,市经济开发区,B
红河州,蒙自市,23.3993,103.3772,云南,2608A,污水处理厂,B
红河州,蒙自市,23.35,103.3861,云南,2609A,监测站,B
文山州,文山市,23.3594,104.2533,云南,2610A,州水务局,B
西双版纳州,景洪市,22.0019,100.7939,云南,2612A,景洪市江南,B
大理州,大理市,25.7054,100.1542,云南,2614A,大理市环境监测站,B
怒江州,泸水市,25.8417,98.8546,云南,2619A,泸水一中,B
昌都,卡若区,31.1273,97.1806,西藏,2622A,昌都监测站,B
山南,乃东区,29.2436,91.7706,西藏,2625A,山南人民医院,B
林芝,巴宜区,29.6616,94.3616,西藏,2633A,林芝人民医院,B
汉中,汉台区,33.1842,106.9893,陕西,2634A,汉川机床厂子校(对照点),B
汉中,汉台区,33.0706,107.0154,陕西,2635A,市监测站,B
汉中,汉台区,33.1138,107.0089,陕西,2636A,鑫源开发区,B
榆林,榆阳区,38.3344,109.7414,陕西,2638A,红石峡森林公园(对照点),B
榆林,榆阳区,38.2839,109.7289,陕西,2640A,实验中学,B
榆林,榆阳区,38.2478,109.7336,陕西,2641A,环保监测大楼,B
安康,汉滨区,32.6939,109.0281,陕西,2643A,安康市监测站,B
安康,汉滨区,32.6975,109.0072,陕西,2644A,汉滨区检察院,B
白银,白银区,36.5482,104.1465,甘肃,2648A,动力公司,B
天水,麦积区,34.5538,105.8945,甘肃,2651A,文化馆,B
武威,凉州区,37.9251,102.6201,甘肃,2652A,监测站,B
张掖,甘州区,38.9422,100.4154,甘肃,2655A,科委,B
平凉,崆峒区,35.5307,106.7021,甘肃,2657A,博物馆,B
酒泉,肃州区,39.7256,98.4989,甘肃,2659A,富康家世界子站,B
庆阳,西峰区,35.7067,107.6364,甘肃,2662A,市环保局,B
定西,安定区,35.5934,104.6194,甘肃,2664A,南峰招待所(原起重机厂),B
临夏州,临夏市,35.6057,103.2417,甘肃,2668A,州委党校,B
甘南州,合作市,34.9841,102.9099,甘肃,2669A,监测站,B
海北州,海晏县,36.9639,100.9048,青海,2671A,海晏县西海镇,B
黄南州,同仁市,35.5102,102.0199,青海,2672A,同仁县隆务镇,B
海南州,共和县,36.2866,100.6188,青海,2673A,共和县恰卜恰镇,B
果洛州,玛沁县,34.4714,100.2561,青海,2674A,玛沁县大武镇,B
玉树州,玉树市,33.0014,97.0,青海,2675A,玉树县结古镇,B
海西州,德令哈市,37.3753,97.3731,青海,2676A,德令哈市,B
吴忠,利通区,37.9648,106.1532,宁夏,2677A,教育园区,B
