city,count,county,lat,lon,province,staID,staName,type
泰州,1080,兴化市,32.9092,119.8489,江苏,321281002,兴化人武部,C
泰州,1080,靖江市,32.0306,120.2472,江苏,321282001,靖江中专,C
泰州,1080,靖江市,31.995,120.2511,江苏,321282002,靖江监测站,C
泰州,1080,靖江市,32.0208,120.2817,江苏,321282003,靖城中学,C
泰州,1080,泰兴市,32.1628,120.0267,江苏,321283001,泰兴襟江小学,C
泰州,1080,泰兴市,32.1769,120.0455,江苏,321283002,泰兴政务中心,C
宿迁,1080,沭阳县,34.0869,118.7908,江苏,321322001,沭阳经贸学院,C
宿迁,1080,沭阳县,34.1064,118.7933,江苏,321322002,沭阳第一实小,C
宿迁,1080,泗阳县,33.7297,118.7028,江苏,321323001,泗阳奥体中心,C
宿迁,1080,泗阳县,33.7025,118.7031,江苏,321323002,泗阳生态公园,C
宿迁,1080,泗洪县,33.4769,118.2117,江苏,321324002,泗洪监测站,C
漳州,1079,芗城区,24.5157,117.6569,福建,3216A,漳州党校(20190503启用),B
池州,1080,贵池区,30.6617,117.4918,安徽,3237A,展览馆(190815启用),B
辽源,1080,经济技术开发区,42.9078,125.0764,吉林,3239A,银鹰制药(20190903启用),B
兰州,1077,七里河区,36.0842,103.7439,甘肃,3241A,百合公园(新增191227),B
兰州,1080,榆中县,35.998,103.9611,甘肃,3242A,和平(新增200315),B
兰州,1080,新区,36.533,103.6633,甘肃,3245A,新区管委会(新增191218),B
兰州,1080,新区,36.4789,103.6975,甘肃,3246A,舟曲中学(新增200310),B
陇南,911,武都区,33.371,104.955,甘肃,3247A,市总工会(新增191221),B
嘉峪关,1077,市区,39.7724,98.2643,甘肃,3248A,雄关区(新增191225),B
上海,1063,宝山区,31.3322,121.4316,上海,3265A,宝山庙行(新增200109),B
上海,1080,崇明区,31.4662,121.8791,上海,3266A,崇明上实东滩(新增191229),B
上海,1080,嘉定区,31.2838,121.3162,上海,3268A,嘉定南翔(新增191229),B
上海,1080,金山区,30.7456,121.3359,上海,3269A,金山新城(新增200113),B
上海,1080,闵行区,31.0739,121.4996,上海,3270A,闵行浦江(新增200109),B
上海,1063,青浦区,31.1663,121.2886,上海,3271A,青浦徐泾(新增191229),B
上海,1080,松江区,31.0378,121.2186,上海,3272A,松江图书馆(新增200109),B
上海,1080,长宁区,31.2059,121.3902,上海,3273A,长宁仙霞(新增200107),B
上海,1080,浦东新区,31.0507,121.7965,上海,3274A,浦东惠南(新增191229),B
北京,1079,延庆区,40.4529,115.9718,北京,3281A,延庆夏都(145),B
大同,1080,平城区,40.0597,113.3397,山西,3282A,大同市卫生学校(145),B
包头,1080,稀土高新技术产业开发区,40.5685,109.9154,内蒙古,3283A,滨河大厦(新增191226),B
乌海,1080,海勃湾区,39.7274,106.813,内蒙古,3284A,海北新区(新增200607),B
乌兰察布,1080,集宁区,40.9509,113.1376,内蒙古,3285A,北京八中(新增200602),B
赤峰,1080,红山区,42.3147,118.9359,内蒙古,3286A,桥北物流园区(新增200522),B
镇江,911,润州区,32.1976,119.3842,江苏,3287A,富润路1号(145),B
徐州,1080,贾汪区,34.4422,117.4754,江苏,3288A,大泉街道(新增200422),B
苏州,1080,吴中区,31.3188,120.743,江苏,3289A,方洲路(新增200101),B
苏州,1080,吴中区,31.2774,120.5031,江苏,3290A,木渎中学(新增200110),B
南通,1080,通州区,32.062,121.067,江苏,3291A,通州监测站(新增200116),B
盐城,1034,盐都区,33.3367,120.1501,江苏,3293A,月亮广场(新增191226),B
扬州,1080,江都区,32.4222,119.5653,江苏,3294A,引江管理处(新增191231),B
泰州,1065,姜堰区,32.5099,120.1259,江苏,3295A,姜堰区政府广场(新增200107),B
广州,1080,从化区,23.5491,113.5717,广东,3298A,从化街口(新增200102),B
广州,1080,白云区,23.3692,113.3472,广东,3299A,白云竹料(新增200102),B
